,tweet_id,rating_numerator,rating_denominator,name,date,stage
96,873580283840344065,13.0,10,None,06-10-2017,None
98,873213775632977920,12.0,10,Sierra,06-09-2017,pupper
99,872967104147763200,12.0,10,None,06-09-2017,doggo
100,872820683541237760,13.0,10,None,06-08-2017,None
102,872620804844003328,13.0,10,Monkey,06-08-2017,None
103,872486979161796608,12.0,10,None,06-07-2017,None
104,872261713294495745,13.0,10,Harry,06-07-2017,None
105,872122724285648897,12.0,10,Kody,06-06-2017,None
106,871879754684805121,13.0,10,Lassie,06-06-2017,None
107,871762521631449091,12.0,10,Rover,06-05-2017,pupper
108,871515927908634625,12.0,10,Napolean,06-04-2017,doggo
110,871102520638267392,14.0,10,None,06-03-2017,doggo
111,871032628920680449,13.0,10,Boomer,06-03-2017,None
112,870804317367881728,11.0,10,None,06-03-2017,None
113,870726314365509632,10.0,10,None,06-02-2017,None
114,870656317836468226,13.0,10,Cody,06-02-2017,None
115,870374049280663552,13.0,10,Zoey,06-01-2017,None
116,870308999962521604,13.0,10,Rumble,06-01-2017,None
117,870063196459192321,14.0,10,Clifford,05-31-2017,None
119,869772420881756160,13.0,10,Dewey,05-31-2017,None
120,869702957897576449,13.0,10,Stanley,05-30-2017,None
121,869596645499047938,12.0,10,Scout,05-30-2017,doggo
122,869227993411051520,13.0,10,Gizmo,05-29-2017,None
123,868880397819494401,14.0,10,Walter,05-28-2017,None
125,868622495443632128,13.0,10,None,05-28-2017,None
126,868552278524837888,12.0,10,Cooper,05-27-2017,None
127,867900495410671616,12.0,10,None,05-26-2017,None
128,867774946302451713,13.0,10,Harold,05-25-2017,None
129,867421006826221569,12.0,10,Shikha,05-24-2017,puppo
131,867051520902168576,13.0,10,None,05-23-2017,None
133,866720684873056260,13.0,10,None,05-22-2017,None
134,866686824827068416,12.0,10,Lili,05-22-2017,None
135,866450705531457537,13.0,10,Jamesy,05-22-2017,pupper
136,866334964761202691,12.0,10,Coco,05-21-2017,None
138,865718153858494464,13.0,10,Boomer,05-19-2017,None
139,865359393868664832,13.0,10,Sammy,05-19-2017,None
140,865006731092295680,13.0,10,Nelly,05-18-2017,None
141,864873206498414592,14.0,10,None,05-17-2017,None
142,864279568663928832,12.0,10,Meatball,05-16-2017,None
143,864197398364647424,13.0,10,Paisley,05-15-2017,None
144,863907417377173506,13.0,10,Albus,05-15-2017,None
145,863553081350529029,13.0,10,Neptune,05-14-2017,None
147,863432100342583297,12.0,10,Belle,05-13-2017,None
148,863427515083354112,12.0,10,None,05-13-2017,None
149,863079547188785154,14.0,10,None,05-12-2017,None
150,863062471531167744,13.0,10,Quinn,05-12-2017,None
151,862831371563274240,13.0,10,Zooey,05-12-2017,None
152,862722525377298433,11.0,10,Dave,05-11-2017,None
153,862457590147678208,13.0,10,Jersey,05-11-2017,None
154,862096992088072192,13.0,10,None,05-10-2017,None
156,861383897657036800,13.0,10,Hobbes,05-08-2017,None
157,861288531465048066,13.0,10,None,05-07-2017,None
158,861005113778896900,12.0,10,Burt,05-06-2017,None
161,860563773140209665,13.0,10,Lorenzo,05-05-2017,None
162,860524505164394496,13.0,10,Carl,05-05-2017,None
163,860276583193509888,12.0,10,Jordy,05-04-2017,None
164,860184849394610176,14.0,10,None,05-04-2017,None
166,859924526012018688,12.0,10,Milky,05-04-2017,None
167,859851578198683649,13.0,10,Trooper,05-03-2017,None
168,859607811541651456,13.0,10,None,05-03-2017,puppo
169,859196978902773760,12.0,10,None,05-02-2017,None
170,859074603037188101,13.0,10,None,05-01-2017,None
172,858843525470990336,13.0,10,None,05-01-2017,doggo
173,858471635011153920,13.0,10,Sophie,04-30-2017,None
174,858107933456039936,12.0,10,Wyatt,04-28-2017,None
175,857989990357356544,12.0,10,Rosie,04-28-2017,None
176,857746408056729600,13.0,10,Thor,04-28-2017,None
177,857393404942143489,13.0,10,None,04-27-2017,None
178,857263160327368704,13.0,10,Oscar,04-26-2017,None
179,857214891891077121,12.0,10,None,04-26-2017,None
181,857029823797047296,12.0,10,Zeke,04-26-2017,None
183,856543823941562368,12.0,10,Callie,04-24-2017,None
184,856526610513747968,14.0,10,None,04-24-2017,None
186,856288084350160898,14.0,10,None,04-23-2017,None
187,856282028240666624,14.0,10,Cermet,04-23-2017,None
188,855862651834028034,420.0,10,None,04-22-2017,None
189,855860136149123072,666.0,10,None,04-22-2017,None
190,855857698524602368,13.0,10,None,04-22-2017,None
191,855851453814013952,13.0,10,None,04-22-2017,doggoNoneNonepuppo
192,855818117272018944,13.0,10,None,04-22-2017,None
193,855459453768019968,12.0,10,None,04-21-2017,None
196,854732716440526848,12.0,10,Marlee,04-19-2017,None
197,854482394044301312,13.0,10,Arya,04-18-2017,None
198,854365224396361728,13.0,10,Einstein,04-18-2017,None
199,854120357044912130,14.0,10,None,04-17-2017,pupper
200,854010172552949760,11.0,10,None,04-17-2017,doggoflooferNoneNone
201,853760880890318849,12.0,10,Alice,04-17-2017,None
202,853639147608842240,13.0,10,None,04-16-2017,None
203,853299958564483072,13.0,10,Rumpole,04-15-2017,None
205,852912242202992640,12.0,10,Benny,04-14-2017,None
206,852672615818899456,12.0,10,Aspen,04-13-2017,None
207,852553447878664193,13.0,10,Jarod,04-13-2017,None
208,852311364735569921,13.0,10,Wiggles,04-13-2017,None
209,852226086759018497,14.0,10,General,04-12-2017,None
210,852189679701164033,12.0,10,Sailor,04-12-2017,None
213,851591660324737024,11.0,10,None,04-11-2017,None
214,851464819735769094,14.0,10,Iggy,04-10-2017,None
215,851224888060895234,13.0,10,Snoop,04-10-2017,None
216,850753642995093505,11.0,10,Kyle,04-08-2017,None
217,850380195714523136,13.0,10,Leo,04-07-2017,None
218,850333567704068097,13.0,10,None,04-07-2017,None
219,850145622816686080,11.0,10,Riley,04-07-2017,None
220,850019790995546112,12.0,10,Boomer,04-06-2017,pupper
221,849776966551130114,12.0,10,None,04-06-2017,None
223,849412302885593088,12.0,10,Noosh,04-05-2017,None
224,849336543269576704,11.0,10,None,04-04-2017,None
225,849051919805034497,13.0,10,Kevin,04-04-2017,None
226,848690551926992896,12.0,10,None,04-03-2017,None
227,848324959059550208,12.0,10,Odin,04-02-2017,None
228,848213670039564288,11.0,10,None,04-01-2017,None
229,848212111729840128,6.0,10,Jerry,04-01-2017,None
232,847962785489326080,10.0,10,Georgie,04-01-2017,None
233,847842811428974592,12.0,10,Rontu,03-31-2017,None
234,847617282490613760,13.0,10,None,03-31-2017,None
235,847606175596138505,12.0,10,Cannon,03-31-2017,None
236,847251039262605312,12.0,10,Furzey,03-30-2017,None
237,847157206088847362,11.0,10,Daisy,03-29-2017,None
238,847116187444137987,11.0,10,None,03-29-2017,None
239,846874817362120707,13.0,10,Tuck,03-29-2017,None
240,846514051647705089,13.0,10,Barney,03-28-2017,doggo
241,846505985330044928,11.0,10,None,03-27-2017,None
242,846153765933735936,13.0,10,Vixen,03-27-2017,None
243,846139713627017216,13.0,10,None,03-26-2017,None
244,846042936437604353,12.0,10,Jarvis,03-26-2017,None
245,845812042753855489,13.0,10,None,03-26-2017,None
246,845677943972139009,12.0,10,None,03-25-2017,None
248,845397057150107648,13.0,10,Mimosa,03-24-2017,doggo
249,845306882940190720,12.0,10,Pickles,03-24-2017,pupper
251,844979544864018432,13.0,10,None,03-23-2017,None
252,844973813909606400,12.0,10,Brady,03-23-2017,None
253,844704788403113984,13.0,10,Luna,03-23-2017,None
254,844580511645339650,11.0,10,Charlie,03-22-2017,None
255,844223788422217728,12.0,10,Margo,03-21-2017,None
256,843981021012017153,13.0,10,None,03-21-2017,None
257,843856843873095681,12.0,10,Sadie,03-20-2017,None
258,843604394117681152,11.0,10,Hank,03-19-2017,None
259,843235543001513987,13.0,10,Tycho,03-18-2017,None
261,842846295480000512,13.0,10,Charlie,03-17-2017,None
262,842765311967449089,12.0,10,Indie,03-17-2017,None
263,842535590457499648,13.0,10,Winnie,03-17-2017,None
264,842163532590374912,12.0,10,George,03-16-2017,None
265,842115215311396866,12.0,10,Bentley,03-15-2017,None
267,841680585030541313,12.0,10,Penny,03-14-2017,None
268,841439858740625411,14.0,10,None,03-14-2017,None
269,841320156043304961,12.0,10,None,03-13-2017,None
270,841314665196081154,13.0,10,Max,03-13-2017,None
271,841077006473256960,12.0,10,Dawn,03-13-2017,None
274,840698636975636481,10.0,10,None,03-11-2017,None
275,840696689258311684,10.0,10,None,03-11-2017,None
276,840632337062862849,12.0,10,Maddie,03-11-2017,None
277,840370681858686976,13.0,10,None,03-11-2017,None
278,840268004936019968,12.0,10,Monty,03-10-2017,None
279,839990271299457024,13.0,10,Sojourner,03-10-2017,None
280,839549326359670784,12.0,10,Winston,03-08-2017,None
282,839239871831150596,13.0,10,Odie,03-07-2017,None
283,838952994649550848,13.0,10,None,03-07-2017,None
284,838921590096166913,13.0,10,Arlo,03-07-2017,None
287,838561493054533637,13.0,10,Walter,03-06-2017,None
288,838476387338051585,13.0,10,Stanley,03-05-2017,None
290,838150277551247360,182.0,10,None,03-04-2017,None
291,838085839343206401,15.0,10,None,03-04-2017,None
292,838083903487373313,13.0,10,Daisy,03-04-2017,None
293,837820167694528512,12.0,10,None,03-04-2017,pupper
294,837482249356513284,13.0,10,Waffles,03-03-2017,None
295,837471256429613056,12.0,10,Vincent,03-03-2017,None
296,837366284874571778,13.0,10,Lucy,03-02-2017,None
297,837110210464448512,13.0,10,Clark,03-02-2017,pupper
299,836989968035819520,12.0,10,Mookie,03-01-2017,None
300,836753516572119041,12.0,10,Meera,03-01-2017,doggo
301,836677758902222849,11.0,10,Oliver,02-28-2017,None
304,836380477523124226,12.0,10,Ava,02-28-2017,pupper
305,836260088725786625,13.0,10,Lucy,02-27-2017,None
306,836001077879255040,13.0,10,None,02-26-2017,None
308,835574547218894849,11.0,10,Eli,02-25-2017,None
311,835297930240217089,12.0,10,Ash,02-25-2017,None
312,835264098648616962,12.0,10,Lola,02-24-2017,None
313,835246439529840640,960.0,0,None,02-24-2017,None
314,835172783151792128,12.0,10,None,02-24-2017,None
315,835152434251116546,0.0,10,None,02-24-2017,None
316,834931633769889797,12.0,10,Tucker,02-24-2017,None
317,834786237630337024,13.0,10,Tobi,02-23-2017,None
318,834574053763584002,13.0,10,None,02-23-2017,doggo
320,834458053273591808,12.0,10,Chester,02-22-2017,None
321,834209720923721728,12.0,10,Wilson,02-22-2017,None
322,834167344700198914,11.0,10,Sunshine,02-21-2017,None
323,834089966724603904,10.0,10,None,02-21-2017,doggo
324,834086379323871233,12.0,10,Lipton,02-21-2017,None
325,833863086058651648,12.0,10,Bentley,02-21-2017,None
326,833826103416520705,13.0,10,Charlie,02-20-2017,None
328,833722901757046785,13.0,10,Bronte,02-20-2017,None
329,833479644947025920,13.0,10,Poppy,02-20-2017,None
330,833124694597443584,12.0,10,Gidget,02-19-2017,pupper
331,832998151111966721,13.0,10,Rhino,02-18-2017,doggo
333,832757312314028032,13.0,10,Willow,02-18-2017,None
334,832682457690300417,13.0,10,None,02-17-2017,None
335,832645525019123713,10.0,10,None,02-17-2017,None
336,832636094638288896,12.0,10,Orion,02-17-2017,None
337,832397543355072512,12.0,10,Eevee,02-17-2017,None
338,832369877331693569,11.0,10,Charlie,02-16-2017,None
339,832273440279240704,14.0,10,Smiley,02-16-2017,doggo
342,832088576586297345,11.0,15,None,02-16-2017,None
344,832032802820481025,12.0,10,Miguel,02-16-2017,doggo
345,831939777352105988,12.0,10,Emanuel,02-15-2017,doggo
346,831926988323639298,12.0,10,None,02-15-2017,None
347,831911600680497154,14.0,10,Kuyu,02-15-2017,None
348,831670449226514432,13.0,10,Daisy,02-15-2017,None
349,831650051525054464,13.0,10,None,02-14-2017,None
350,831552930092285952,13.0,10,Dutch,02-14-2017,None
351,831322785565769729,12.0,10,Pete,02-14-2017,doggo
352,831315979191906304,13.0,10,None,02-14-2017,pupper
353,831309418084069378,12.0,10,Scooter,02-14-2017,None
354,831262627380748289,12.0,10,Tucker,02-13-2017,None
355,830956169170665475,12.0,10,Reggie,02-13-2017,None
356,830583320585068544,13.0,10,Lilly,02-12-2017,None
358,830097400375152640,13.0,10,Samson,02-10-2017,None
360,829861396166877184,12.0,10,Mia,02-10-2017,None
361,829501995190984704,12.0,10,Leo,02-09-2017,None
362,829449946868879360,11.0,10,None,02-08-2017,doggo
363,829374341691346946,13.0,10,Astrid,02-08-2017,doggo
364,829141528400556032,12.0,10,Malcolm,02-08-2017,None
365,829011960981237760,13.0,10,Dexter,02-07-2017,None
367,828770345708580865,13.0,10,Alfie,02-07-2017,None
368,828708714936930305,10.0,10,Fiona,02-06-2017,None
369,828650029636317184,14.0,10,None,02-06-2017,None
370,828409743546925057,12.0,10,Mutt,02-06-2017,None
371,828408677031882754,12.0,10,Bear,02-06-2017,None
372,828381636999917570,14.0,10,Doobert,02-05-2017,doggo
373,828376505180889089,13.0,10,Beebop,02-05-2017,None
374,828372645993398273,12.0,10,Alexander,02-05-2017,None
375,828361771580813312,12.0,10,None,02-05-2017,None
376,828046555563323392,13.0,10,Sailer,02-05-2017,None
377,828011680017821696,11.0,10,Brutus,02-04-2017,None
378,827933404142436356,12.0,10,Kona,02-04-2017,pupper
379,827653905312006145,12.0,10,Boots,02-03-2017,None
380,827600520311402496,13.0,10,Tucker,02-03-2017,None
381,827324948884643840,12.0,10,Ralphie,02-03-2017,None
383,827199976799354881,13.0,10,Charlie,02-02-2017,None
384,826958653328592898,12.0,10,Loki,02-02-2017,doggo
385,826848821049180160,13.0,10,Cupid,02-01-2017,doggo
387,826598799820865537,7.0,10,None,02-01-2017,None
388,826598365270007810,13.0,10,Pawnd,02-01-2017,None
389,826476773533745153,12.0,10,Pilot,01-31-2017,doggo
390,826240494070030336,11.0,10,None,01-31-2017,None
391,826204788643753985,13.0,10,None,01-30-2017,doggo
392,826115272272650244,13.0,10,Ike,01-30-2017,None
393,825876512159186944,11.0,10,Mo,01-30-2017,None
394,825829644528148480,12.0,10,Toby,01-29-2017,None
395,825535076884762624,14.0,10,None,01-29-2017,puppo
396,825147591692263424,13.0,10,Sweet,01-28-2017,None
398,825026590719483904,12.0,10,Pablo,01-27-2017,puppo
400,824775126675836928,12.0,10,Scooter,01-27-2017,None
401,824663926340194305,13.0,10,Wilson,01-26-2017,None
402,824325613288833024,13.0,10,None,01-25-2017,pupper
403,824297048279236611,11.0,10,Nala,01-25-2017,None
404,824025158776213504,14.0,10,None,01-24-2017,None
405,823939628516474880,12.0,10,Cash,01-24-2017,None
407,823699002998870016,12.0,10,Winston,01-24-2017,None
408,823581115634085888,11.0,10,Crawford,01-23-2017,None
409,823333489516937216,13.0,10,None,01-23-2017,None
410,823322678127919110,11.0,10,Wyatt,01-23-2017,None
412,822975315408461824,12.0,10,Albus,01-22-2017,None
413,822872901745569793,13.0,10,None,01-21-2017,puppo
414,822859134160621569,12.0,10,Hobbes,01-21-2017,None
416,822610361945911296,12.0,10,None,01-21-2017,None
417,822489057087389700,13.0,10,Paisley,01-20-2017,None
418,822462944365645825,14.0,10,Gabe,01-20-2017,pupper
419,822244816520155136,11.0,10,None,01-20-2017,None
421,821886076407029760,13.0,10,Jimison,01-19-2017,None
423,821765923262631936,13.0,10,Duchess,01-18-2017,doggo
424,821522889702862852,13.0,10,Harlso,01-18-2017,None
426,821407182352777218,14.0,10,Sundance,01-17-2017,doggo
427,821153421864615936,13.0,10,None,01-17-2017,None
428,821149554670182400,12.0,10,Luca,01-17-2017,None
429,821107785811234820,11.0,10,None,01-16-2017,doggo
430,821044531881721856,12.0,10,Flash,01-16-2017,None
432,820749716845686786,13.0,10,Sunny,01-15-2017,None
433,820690176645140481,84.0,70,None,01-15-2017,None
436,820314633777061888,14.0,10,None,01-14-2017,None
437,820078625395449857,12.0,10,None,01-14-2017,None
439,819952236453363712,13.0,10,Oliver,01-13-2017,puppo
440,819924195358416896,11.0,10,None,01-13-2017,doggo
441,819711362133872643,11.0,10,Howie,01-13-2017,None
442,819588359383371776,13.0,10,Jazzy,01-12-2017,None
443,819347104292290561,12.0,10,Anna,01-12-2017,None
444,819238181065359361,10.0,10,None,01-11-2017,pupper
445,819227688460238848,12.0,10,Finn,01-11-2017,None
448,819006400881917954,14.0,10,Sunny,01-11-2017,doggo
449,819004803107983360,14.0,10,Bo,01-11-2017,doggo
451,818627210458333184,13.0,10,Wafer,01-10-2017,None
452,818614493328580609,12.0,10,Bear,01-10-2017,None
454,818536468981415936,11.0,10,Tom,01-09-2017,None
456,818259473185828864,12.0,10,Florence,01-09-2017,None
457,818145370475810820,11.0,10,Autumn,01-08-2017,None
458,817908911860748288,12.0,10,None,01-08-2017,None
459,817827839487737858,13.0,10,Buddy,01-07-2017,None
460,817777686764523521,13.0,10,Dido,01-07-2017,doggoNonepupperNone
461,817536400337801217,12.0,10,Eugene,01-07-2017,None
463,817423860136083457,13.0,10,Ken,01-06-2017,None
464,817415592588222464,11.0,10,Strudel,01-06-2017,None
466,817171292965273600,13.0,10,Tebow,01-06-2017,None
467,817120970343411712,13.0,10,None,01-05-2017,None
468,817056546584727552,11.0,10,Chloe,01-05-2017,None
470,816816676327063552,12.0,10,Timber,01-05-2017,None
471,816697700272001025,12.0,10,Binky,01-04-2017,None
472,816450570814898180,13.0,10,Moose,01-04-2017,None
473,816336735214911488,11.0,10,Dudley,01-03-2017,None
474,816091915477250048,12.0,10,Comet,01-03-2017,None
477,815990720817401858,11.0,10,Jack,01-02-2017,None
478,815966073409433600,13.0,10,None,01-02-2017,pupper
480,815736392542261248,11.0,10,Akumi,01-02-2017,None
481,815639385530101762,12.0,10,Titan,01-01-2017,None
482,815390420867969024,13.0,10,None,01-01-2017,None
483,814986499976527872,11.0,10,Cooper,12-31-2016,pupper
484,814638523311648768,12.0,10,Olivia,12-30-2016,None
486,814530161257443328,12.0,10,Alf,12-29-2016,None
487,814153002265309185,12.0,10,Oshie,12-28-2016,None
489,813910438903693312,11.0,10,Chubbs,12-28-2016,doggo
490,813812741911748608,14.0,10,Gary,12-27-2016,None
491,813800681631023104,12.0,10,Sky,12-27-2016,None
492,813217897535406080,13.0,10,Atlas,12-26-2016,None
493,813202720496779264,11.0,10,None,12-26-2016,doggo
494,813187593374461952,13.0,10,None,12-26-2016,None
495,813172488309972993,12.0,10,Eleanor,12-26-2016,None
496,813157409116065792,12.0,10,Layla,12-25-2016,None
497,813142292504645637,13.0,10,None,12-25-2016,None
498,813130366689148928,12.0,10,None,12-25-2016,None
499,813127251579564032,11.0,10,None,12-25-2016,doggo
500,813112105746448384,12.0,10,Toby,12-25-2016,None
501,813096984823349248,11.0,10,Rocky,12-25-2016,doggo
502,813081950185472002,11.0,10,Baron,12-25-2016,None
503,813066809284972545,12.0,10,Tyr,12-25-2016,None
504,813051746834595840,13.0,10,Bauer,12-25-2016,None
505,812781120811126785,10.0,10,Swagger,12-24-2016,None
507,812709060537683968,12.0,10,Brandi,12-24-2016,None
508,812503143955202048,13.0,10,None,12-24-2016,None
509,812466873996607488,12.0,10,Mary,12-24-2016,None
510,812372279581671427,13.0,10,Moe,12-23-2016,None
511,811985624773361665,11.0,10,Ted,12-22-2016,None
512,811744202451197953,13.0,10,Halo,12-22-2016,None
513,811647686436880384,11.0,10,None,12-21-2016,None
514,811627233043480576,10.0,10,Augie,12-21-2016,None
515,811386762094317568,11.0,10,Craig,12-21-2016,pupper
516,810984652412424192,24.0,7,Sam,12-19-2016,None
517,810896069567610880,11.0,10,Hunter,12-19-2016,None
518,810657578271330305,11.0,10,Pavlov,12-19-2016,None
519,810284430598270976,13.0,10,Phil,12-18-2016,None
520,810254108431155201,12.0,10,Gus,12-17-2016,None
521,809920764300447744,10.0,10,None,12-17-2016,None
523,809448704142938112,12.0,10,None,12-15-2016,None
524,809220051211603969,12.0,10,Kyro,12-15-2016,None
525,809084759137812480,11.0,10,Wallace,12-14-2016,None
526,808838249661788160,13.0,10,Ito,12-14-2016,None
527,808733504066486276,12.0,10,None,12-13-2016,pupper
528,808501579447930884,12.0,10,Koda,12-13-2016,None
529,808344865868283904,11.0,10,Seamus,12-12-2016,None
531,808106460588765185,12.0,10,None,12-12-2016,doggoNonepupperNone
532,808001312164028416,12.0,10,Cooper,12-11-2016,None
533,807621403335917568,14.0,10,Ollie,12-10-2016,pupper
534,807106840509214720,13.0,10,Stephan,12-09-2016,None
536,807010152071229440,12.0,10,Lennon,12-08-2016,None
537,806629075125202948,13.0,10,None,12-07-2016,None
539,806576416489959424,13.0,10,None,12-07-2016,None
540,806542213899489280,11.0,10,Waffles,12-07-2016,None
542,806219024703037440,11.0,10,None,12-06-2016,None
544,805932879469572096,12.0,10,Major,12-06-2016,None
545,805826884734976000,12.0,10,Duke,12-05-2016,None
547,805520635690676224,13.0,10,Zeke,12-04-2016,None
548,805487436403003392,12.0,10,Sansa,12-04-2016,None
549,805207613751304193,12.0,10,Shooter,12-04-2016,None
550,804738756058218496,12.0,10,Django,12-02-2016,None
551,804475857670639616,13.0,10,None,12-02-2016,None
553,804026241225523202,13.0,10,Bo,11-30-2016,None
554,803773340896923648,12.0,10,Diogi,11-30-2016,puppo
556,803638050916102144,13.0,10,None,11-29-2016,pupper
557,803380650405482500,12.0,10,Sonny,11-28-2016,None
559,803276597545603072,11.0,10,Winston,11-28-2016,None
560,802952499103731712,12.0,10,Marley,11-27-2016,None
562,802600418706604034,11.0,10,Bailey,11-26-2016,None
563,802572683846291456,12.0,10,Winnie,11-26-2016,None
564,802323869084381190,13.0,10,Severus,11-26-2016,None
565,802265048156610565,11.0,10,None,11-25-2016,doggoNonepupperNone
567,802239329049477120,12.0,10,Loki,11-25-2016,puppo
569,801958328846974976,12.0,10,Ronnie,11-25-2016,None
570,801854953262350336,11.0,10,None,11-24-2016,None
571,801538201127157760,12.0,10,Wallace,11-23-2016,None
572,801285448605831168,10.0,10,None,11-23-2016,None
573,801167903437357056,13.0,10,Milo,11-22-2016,None
575,801115127852503040,12.0,10,Bones,11-22-2016,doggoNonepupperNone
576,800859414831898624,11.0,10,None,11-22-2016,doggo
578,800751577355128832,12.0,10,Mauve,11-21-2016,None
579,800513324630806528,11.0,10,Chef,11-21-2016,None
580,800459316964663297,12.0,10,None,11-20-2016,pupper
582,800388270626521089,12.0,10,Doc,11-20-2016,floofer
584,800141422401830912,13.0,10,Peaches,11-20-2016,None
585,800018252395122689,11.0,10,None,11-19-2016,doggo
587,799757965289017345,13.0,10,Sobe,11-18-2016,doggo
588,799422933579902976,12.0,10,Longfellow,11-18-2016,None
590,799297110730567681,11.0,10,Jeffrey,11-17-2016,None
591,799063482566066176,11.0,10,Mister,11-17-2016,None
592,798933969379225600,12.0,10,Iroh,11-16-2016,None
593,798925684722855936,11.0,10,Shadow,11-16-2016,None
607,798209839306514432,13.0,10,Cooper,11-14-2016,None
608,797971864723324932,12.0,10,None,11-14-2016,pupper
609,797545162159308800,12.0,10,Cassie,11-12-2016,None
