,favorite_count,full_text,tweet_id,retweet_count
1991-02-16 08:03:38.707132416,189,This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10 https://t.co/bg4TqvvkuF,666691418707132416,47
1991-02-16 10:46:08.228331520,432,This is a golden Buckminsterfullerene named Johm. Drives trucks. Lumberjack (?). Enjoys wall. 8/10 would hug softly https://t.co/uQbZJM2DQB,666701168228331520,219
1991-02-16 21:22:07.293083650,238,This is Lugan. He is a Bohemian Rhapsody. Very confused dog. Thinks his name is Rocky. Not amused by the snows 10/10 https://t.co/tI3uFLDHBI,666739327293083648,66
1991-02-17 07:48:28.487630848,350,This is Josep. He is a Rye Manganese mix. Can drive w eyes closed. Very irresponsible. Menace on the roadways. 5/10 https://t.co/XNGeDwrtYH,666776908487630848,175
1991-02-17 09:09:52.255496192,388,This is a purebred Bacardi named Octaviath. Can shoot spaghetti out of mouth. 10/10 https://t.co/uEvsGLOFHa,666781792255496192,198
1991-02-17 10:21:08.205871104,765,Unfamiliar with this breed. Ears pointy af. Won't let go of seashell. Won't eat kibble. Not very fast. Bad dog 2/10 https://t.co/EIn5kElY1S,666786068205871104,488
1991-02-17 15:26:04.988780544,242,This is Jockson. He is a Pinnacle Sagittarius. Fancy bandana. Enjoys lightly sucking on hot dog in nature. 8/10 https://t.co/RdKbAOEpDK,666804364988780544,94
1991-02-17 19:10:36.334096384,522,This is Jeph. He is a German Boston Shuttlecock. Enjoys couch. Lost body during French Revolution. True hero 9/10 https://t.co/8whlkYw3mO,666817836334096384,253
1991-02-17 21:39:40.179869698,256,12/10 simply brilliant pup https://t.co/V6ZzG45zzG,666826780179869696,97
1991-02-17 23:56:47.768551424,217,These are Peruvian Feldspars. Their names are Cupit and Prencer. Both resemble Rand Paul. Sick outfits 10/10 &amp; 10/10 https://t.co/ZnEMHBsAs1,666835007768551424,80
1991-02-18 00:30:28.449972224,825,My goodness. Very rare dog here. Large. Tail dangerous. Kinda fat. Only eats leaves. Doesn't come when called 3/10 https://t.co/xYGdBrMS9h,666837028449972224,559
1991-02-19 17:19:07.667116034,2566,This is a curly Ticonderoga named Pepe. No feet. Loves to jet ski. 11/10 would hug until forever https://t.co/cyDfaK8NBc,666983947667116032,992
1991-02-19 20:42:12.027977728,247,This is Carll. He wants to be a donkey. But also a soccer star. Dreams big. 10/10 https://t.co/SVpNbhaIMk,666996132027977728,95
1991-02-20 01:16:41.033924608,451,This is Klevin. He laughs a lot. Very cool dog. 9/10 https://t.co/bATAbPNv0m,667012601033924608,225
1991-02-20 10:01:34.246576128,186,12/10 gimme now https://t.co/QZAnwgnOMB,667044094246576128,51
1991-02-20 15:03:01.243039745,221,This is Keet. He is a Floridian Amukamara. Absolutely epic propeller hat. Pristine tongue. Nice plaid. 10/10 https://t.co/tz1lpuvXLA,667062181243039744,55
1991-02-20 15:58:55.570550784,169,Here we have a Hufflepuff. Loves vest. Eyes wide af. Flaccid tail. Matches carpet. Always a little blurry. 8/10 https://t.co/7JdgVqDnvR,667065535570550784,48
1991-02-20 17:21:22.143944705,84,After much debate this dog is being upgraded to 10/10. I repeat 10/10,667070482143944704,14
1991-02-20 18:14:08.344346624,408,Here is Dave. He is actually just a skinny legged seal. Happy birthday Dave. 10/10 https://t.co/DPSamreuRq,667073648344346624,124
1991-02-20 23:01:33.657276420,337,This is Clybe. He is an Anemone Valdez. One ear works. Can look in 2 different directions at once. Tongue slip. 7/10 https://t.co/Ks0jZtdIrr,667090893657276416,129
1991-02-21 07:03:16.878725120,332,This is Gabe. He is a southern Baklava. Gabe has always wanted to fit in with the other bananas. 10/10 fabulous https://t.co/3LZrJzg3BJ,667119796878725120,128
1991-02-21 12:11:09.671505920,4649,Extremely intelligent dog here. Has learned to walk like human. Even has his own dog. Very impressive 10/10 https://t.co/0DvHAMdA4V,667138269671505920,2244
1991-02-21 16:02:44.079423490,48159,This is Pipsy. He is a fluffball. Enjoys traveling the sea &amp; getting tangled in leash. 12/10 I would kill for Pipsy https://t.co/h9R0EwKd9X,667152164079423488,17361
1991-02-21 18:17:53.090932737,260,This is Bradlay. He is a Ronaldinho Matsuyama mix. Can also mountain bike (wow). Loves that blue light lime. 11/10 https://t.co/DKhgkMx4N1,667160273090932736,62
1991-02-21 19:46:30.075940865,2712,This is Churlie. AKA Fetty Woof. Lost eye saving a school bus full of toddlers from a tsunami. Great guy. 10/10 https://t.co/li2XYBVuAY,667165590075940864,1157
1991-02-21 21:21:00.800061440,222,Say hello to Kenneth. He likes Reese's Puffs. 10/10 https://t.co/6RHNRsByOY,667171260800061440,91
1991-02-21 22:22:43.120574464,247,"This is Clarence. His face says he doesn't want to be a donkey, but his tail is super pumped about it. 9/10 https://t.co/fGDWgukcBs",667174963120574464,84
1991-02-21 22:42:44.155375616,614,These are strange dogs. All have toupees. Long neck for dogs. In a shed of sorts? Work in groups? 4/10 still petable https://t.co/PZxSarAfSN,667176164155375616,467
1991-02-21 23:13:09.038297088,192,This is a Dasani Kingfisher from Maine. His name is Daryl. Daryl doesn't like being swallowed by a panda. 8/10 https://t.co/jpaeu6LNmW,667177989038297088,55
1991-02-22 00:33:12.070062081,14439,This is Timison. He just told an awful joke but is still hanging on to the hope that you'll laugh with him. 10/10 https://t.co/s2yYuHabWl,667182792070062080,6297
1991-02-22 02:11:29.915760640,751,Quite an advanced dog here. Impressively dressed for canine. Has weapon. About to take out trash. 10/10 good dog https://t.co/8uCMwS9CbV,667188689915760640,422
1991-02-22 03:07:46.997374976,391,*takes several long deep breaths* omg omg oMG OMG OMG OMGSJYBSNDUYWJO 12/10 https://t.co/QCugm5ydl6,667192066997374976,109
1991-02-22 05:28:45.029539841,621,This is Joshwa. He is a fuckboy supreme. He clearly relies on owner but doesn't respect them. Dreamy eyes tho 11/10 https://t.co/60xYFRATPZ,667200525029539840,264
1991-02-22 08:37:35.547486208,498,This is Genevieve. She is a golden retriever cocktail mix. Comfortable close to wall. Shows no emotions. 9/10 https://t.co/azEoGqVonH,667211855547486208,245
1991-02-24 04:20:27.918143488,369,Here we have a neat pup. Very white. Cool shades. Upcoming cruise? Great dog 10/10 https://t.co/LEaviT37v1,667369227918143488,167
1991-02-24 11:03:50.834667520,198,This is Fwed. He is a Canadian Asian Taylormade. Was having a blast until pink spiky football attacked. 8/10 https://t.co/A37eGLz5WS,667393430834667520,58
1991-02-24 14:22:19.315146752,473,This is Biden. Biden just tripped... 7/10 https://t.co/3Fm9PwLju1,667405339315146752,221
1991-02-24 22:48:09.202614272,308,Ermergerd 12/10 https://t.co/PQni2sjPsm,667435689202614272,84
1991-02-24 23:14:38.097252352,452,Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10 https://t.co/97HuBrVuOx,667437278097252352,242
1991-02-25 00:57:05.659232256,791,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,667443425659232256,591
1991-02-25 03:37:03.279554560,317,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,667453023279554560,91
1991-02-25 04:17:28.082227200,194,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,667455448082227200,60
1991-02-25 08:29:19.035432960,259,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,667470559035432960,100
1991-02-25 14:10:09.379606528,537,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,667491009379606528,232
1991-02-25 15:29:57.102141441,527,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,667495797102141440,276
1991-02-25 17:24:00.335572993,538,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,667502640335572992,223
1991-02-25 19:16:04.010450944,6857,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,667509364010450944,2167
1991-02-25 21:34:02.048163840,370,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,667517642048163840,196
1991-02-25 23:34:17.454854144,1720,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,667524857454854144,1131
1991-02-26 01:15:08.589760512,475,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",667530908589760512,245
1991-02-26 02:20:15.156183040,829,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",667534815156183040,551
1991-02-26 03:28:11.197542400,208,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",667538891197542400,67
1991-02-26 04:58:40.556335104,878,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",667544320556335104,533
1991-02-26 05:39:01.521195010,337,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,667546741521195008,127
1991-02-26 06:17:35.577362432,5871,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,667549055577362432,2330
1991-02-28 06:58:22.356258817,491,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,667724302356258816,326
1991-02-28 08:03:16.545200128,380,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,667728196545200128,152
1991-02-28 18:44:35.769573376,448,This is Calvin. He is a Luxembourgian Mayo. Having issues with truck. Has it under control tho. 9/10 responsible af https://t.co/3Bbba7y8Xe,667766675769573376,222
1991-02-28 20:33:15.014021121,239,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,667773195014021120,58
1991-02-28 23:07:44.991965184,417,Super rare dog. Endangered (?). Thinks it's funny. Mocks everything I say. Colorful af. Has wings (dope). 9/10 https://t.co/BY8nQAMz0x,667782464991965184,249
1991-03-01 02:10:09.583771648,709,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,667793409583771648,336
1991-03-01 04:16:53.445750784,334,OMIGOD 12/10 https://t.co/SVMF4Frf1w,667801013445750784,97
1991-03-01 05:47:34.573760512,1070,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,667806454573760512,510
1991-03-01 13:01:14.953625600,293,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",667832474953625600,63
1991-03-01 21:02:20.749471744,245,This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba,667861340749471744,78
1991-03-01 22:32:04.293877760,3043,This is Shaggy. He knows exactly how to solve the puzzle but can't talk. All he wants to do is help. 10/10 great guy https://t.co/SBmWbfAg6X,667866724293877760,1058
1991-03-02 00:30:44.930215936,640,Neat dog. Lots of spikes. Always in push-up position. Laid a shit ton of eggs earlier. Super stellar pup. 10/10 https://t.co/ODqrL3zXYE,667873844930215936,417
1991-03-02 01:52:21.721415682,398,This is Tedrick. He lives on the edge. Needs someone to hit the gas tho. Other than that he's a baller. 10&amp;2/10 https://t.co/LvP1TTYSCN,667878741721415680,122
1991-03-02 03:37:24.254572545,832,Meet Stu. Stu has stacks on stacks and an eye made of pure gold. 10/10 pay for my tuition pls https://t.co/7rkYZQdKEd,667885044254572544,499
1991-03-02 04:08:41.285246976,1922,This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1,667886921285246976,1118
1991-03-02 08:27:29.697558528,861,This is Cleopatricia. She is a northern Paperback Maple. Set up hammock somehow. 9/10 would chill in hammock with https://t.co/sJeHdGUt0W,667902449697558528,385
1991-03-02 10:57:05.562669056,497,Wow. Armored dog here. Ready for battle. Face looks dangerous. Not very loyal. Lil dog on back havin a blast. 5/10 https://t.co/SyMoWrp368,667911425562669056,311
1991-03-02 12:04:13.470232577,215,Meet Otis. He is a Peruvian Quartzite. Pic sponsored by Planters. Ears on point. Killer sunglasses. 10/10 ily Otis https://t.co/tIaaBIMlJN,667915453470232576,58
1991-03-02 14:41:36.115245057,307,This is Jiminy. He has always wanted to be a cheerleader. Can jump high enough to get on other dog. Go Jiminy. 9/10 https://t.co/fW6kIPFGD2,667924896115245056,113
1991-03-02 18:04:55.915278337,1292,This dog resembles a baked potato. Bed looks uncomfortable. No tail. Comes with butter tho. 3/10 petting still fun https://t.co/x89NSCEZCq,667937095915278336,816
1991-03-04 18:57:00.489474048,677,This is Alfie. He's that one hypocritical gym teacher who made you run laps. Great posture. Cool bench. 6/10 https://t.co/GCJzm3YsfX,668113020489474048,251
1991-03-05 03:05:49.051129856,576,This lil pup is Oliver. Hops around. Has wings but doesn't fly (lame). Annoying chirp. Won't catch tennis balls 2/10 https://t.co/DnhUw0aBM2,668142349051129856,294
1991-03-05 06:30:35.664932864,506,Fun dogs here. Top one clearly an athlete. Bottom one very stable. Not very soft tho. 9/10s would still cuddle both https://t.co/79sHR36NsI,668154635664932864,325
1991-03-05 11:17:39.951755264,503,This is a Trans Siberian Kellogg named Alfonso. Huge ass eyeballs. Actually Dobby from Harry Potter. 7/10 https://t.co/XpseHBlAAb,668171859951755264,201
1991-03-05 16:31:21.446379520,663,This is Skittles. I would kidnap Skittles. Pink dog in back hasn't moved in days. 12/10 https://t.co/2wm0POA9N2,668190681446379520,200
1991-03-05 20:29:24.695683073,560,This is Ron. Ron's currently experiencing a brain freeze. Damn it Ron. 8/10 https://t.co/4ilfcR5SlK,668204964695683072,200
1991-03-06 01:00:41.640230912,518,These two dogs are Bo &amp; Smittens. Smittens is trying out a new deodorant and wanted Bo to smell it. 10/10 true pals https://t.co/4pw1QQ6udh,668221241640230912,203
1991-03-06 02:21:33.875376128,305,Sneaky dog here. Tuba player has no clue. 10/10 super sneaky https://t.co/jWVwSppaa2,668226093875376128,106
1991-03-06 05:34:04.992782336,6323,This is Torque. He served his nickel. Better not owe Torque money. Torque will find u. 10/10 cause I'm scared of him https://t.co/TnSRDqYO5i,668237644992782336,2924
1991-03-06 08:34:32.370458624,1013,Say hello to Bisquick. He is a Brown Douglass Fir terrier. Very inbred. Looks terrified. 8/10 still cute tho https://t.co/1XYRh8N00K,668248472370458624,501
1991-03-06 10:45:21.989451776,1327,This is Jareld. Jareld rules these waters. Ladies and Gentleman... 13/10. This dog is utterly fucking spectacular. https://t.co/L6qAEV5PAd,668256321989451776,636
1991-03-06 14:15:07.921326080,565,Here we have an Azerbaijani Buttermilk named Guss. He sees a demon baby Hitler behind his owner. 10/10 stays alert https://t.co/aeZykWwiJN,668268907921326080,243
1991-03-06 15:44:07.790391296,841,Meet Sophie. Her son just got in the car to leave for college. Very touching. Perfect dramatic sunlight. 10/10 yaass https://t.co/3j9kZRcpVB,668274247790391296,235
1991-03-06 19:04:39.830867968,516,Meet Rusty. Rusty's dreaming of a world where Twitter never got rid of favorites. Looks like a happy world. 11/10 https://t.co/C8U6cxI1Jc,668286279830867968,142
1991-03-06 20:39:59.406125056,250,I can't do better than he did. 10/10 https://t.co/fM0KXns7Or,668291999406125056,32
1991-03-06 22:08:48.638447616,633,2 rare dogs. They waddle (v inefficient). Sometimes slide on bellies. Right one wants to be aircraft Marshall. 9/10s https://t.co/P8bivfp5sU,668297328638447616,306
1991-03-08 21:14:59.341221888,900,Here is a mother dog caring for her pups. Snazzy red mohawk. Doesn't wag tail. Pups look confused. Overall 4/10 https://t.co/YOHe6lf09m,668466899341221888,528
1991-03-09 00:54:04.826800133,470,Say hello to DayZ. She is definitely stuck on that stair. Just looking for someone to help her. 11/10 I would help https://t.co/be3zMW0Qj5,668480044826800128,152
1991-03-09 02:03:18.282485761,435,Good teamwork between these dogs. One is on lookout while other eats. Long necks. Nice big house. 9/10s good pups https://t.co/uXgmECGYEB,668484198282485760,241
1991-03-09 05:36:39.348633600,421,This is Jo. Jo is a Swedish Queso. Tongue bigger than face. Tiny lil legs. Still no seatbelt. Simply careless. 8/10 https://t.co/Edy7B5vOp2,668496999348633600,135
1991-03-09 08:31:49.523615744,333,This is a Birmingham Quagmire named Chuk. Loves to relax and watch the game while sippin on that iced mocha. 10/10 https://t.co/HvNg9JWxFt,668507509523615744,111
1991-03-09 14:26:11.708952576,471,This is Gòrdón. He enjoys his razberrita by pool. Not a care in the world. 12/10 this dog has a better life than me https://t.co/zpdBQCcYgW,668528771708952576,232
1991-03-09 16:57:17.512433665,257,This is Spark. He's nervous. Other dog hasn't moved in a while. Won't come when called. Doesn't fetch well 8/10&amp;1/10 https://t.co/stEodX9Aba,668537837512433664,77
1991-03-09 18:12:16.805281792,471,There's a lot going on here but in my honest opinion every dog pictured is pretty fabulous. 10/10 for all. Good dogs https://t.co/VvYVbsi6c3,668542336805281792,222
1991-03-09 18:52:25.690562560,530,It is an honor to rate this pup. He is a Snorklhuahua from Amarillo. A true renaissance dog. Also part Rudolph 10/10 https://t.co/ALNyYuGui7,668544745690562560,233
1991-03-10 01:17:02.092664832,250,This is Marvin. He can tie a bow tie better than me. 11/10 https://t.co/81kzPgqjQ3,668567822092664832,57
1991-03-10 06:43:03.441514497,1698,Never forget this vine. You will not stop watching for at least 15 minutes. This is the second coveted.. 13/10 https://t.co/roqIxCvEB3,668587383441514496,1111
1991-03-10 14:20:19.948453888,621,Here is a horned dog. Much grace. Can jump over moons (dam!). Paws not soft. Bad at barking. 7/10 can still pet tho https://t.co/2Su7gmsnZm,668614819948453888,322
1991-03-10 15:50:35.289837568,207,Say hello to Kallie. There was a tornado in the area &amp; the news guy said everyone should wear a helmet. 10/10 adorbz https://t.co/AGyogHtmXx,668620235289837568,44
1991-03-10 16:40:01.287675904,1469,This is Jomathan. He is not thrilled about the length of the grass. 10/10 https://t.co/TIhVKEIPqj,668623201287675904,800
1991-03-10 17:19:37.880875008,394,This is Maks. Maks just noticed something wasn't right. 10/10 https://t.co/0zBycaxyvs,668625577880875008,138
1991-03-10 17:47:58.264475648,324,This is Timofy. He's a pilot for Southwest. It's Christmas morning &amp; everyone has gotten kickass gifts but him. 9/10 https://t.co/3FuNbzyPwo,668627278264475648,118
1991-03-10 18:56:17.374486528,735,Meet Zeek. He is a grey Cumulonimbus. Zeek is hungry. Someone should feed Zeek asap. 5/10 absolutely terrifying https://t.co/fvVNScw8VH,668631377374486528,326
1991-03-10 19:30:11.083464705,2876,This is Churlie. He likes bagels. 10/10 https://t.co/k8P6FZlzAG,668633411083464704,1697
1991-03-10 20:24:25.813057536,1061,This is an Irish Rigatoni terrier named Berta. Completely made of rope. No eyes. Quite large. Loves to dance. 10/10 https://t.co/EM5fDykrJg,668636665813057536,502
1991-03-10 21:38:29.086707712,1098,Meet Hanz. He heard some thunder. 10/10 https://t.co/pKJK23j0QZ,668641109086707712,555
1991-03-10 22:19:02.311546881,899,Fascinating dog here. Loves beach. Oddly long nose for dog. Massive ass paws. Hard to cuddle w. 3/10 would still pet https://t.co/IiSdmhkC5N,668643542311546880,543
1991-03-10 22:51:46.898350081,915,Incredibly rare dog here. Good at bipedalism. Rad blue spikes. Ready to dance. 11/10 https://t.co/70X1TIXn38,668645506898350080,554
1991-03-11 01:32:19.528511488,542,Say hello to Winifred. He is a Papyrus Hydrangea mix. Can tie shoes. 11/10 inspiring pup https://t.co/mwnBN6ZkPt,668655139528511488,223
1991-03-12 12:03:19.630725120,716,This is Kevon. He is not physically or mentally prepared to start his Monday. 10/10 totes relatable https://t.co/YVAJgWHzPW,668779399630725120,382
1991-03-12 21:59:40.734689280,581,This is a wild Toblerone from Papua New Guinea. Mouth always open. Addicted to hay. Acts blind. 7/10 handsome dog https://t.co/IGmVbz07tZ,668815180734689280,279
1991-03-13 01:01:26.256599040,444,This is Banditt. He is a brown LaBeouf retriever. Loves cold weather. 4 smaller dogs are his sons (probably). 10/10 https://t.co/Ko7eCsFpnI,668826086256599040,141
